,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
642,Alex Pietrangelo\pietral01,30,STL,D,70,1032,919,52.9,3.3,776,701,52.5,3.0,13.5,87.1,100.5,51.1,48.9,24:08,18:56,43,45,2.5,418,53.8
643,Lawrence Pilut\pilutla01,24,BUF,D,13,89,121,42.4,-7.6,68,96,41.5,-7.6,6.3,89.2,95.5,45.9,54.1,16:14,14:42,2,4,-1.4,17,35.3
644,Neal Pionk\pionkne01,24,WPG,D,71,1108,1048,51.4,3.4,830,824,50.2,3.2,10.6,89.8,100.4,54.7,45.3,23:23,19:31,31,62,-3.5,340,52.1
645,Brandon Pirri\pirribr01,28,VEG,C,16,113,127,47.1,-9.2,78,91,46.2,-9.7,6.4,90.8,97.2,55.7,44.3,12:34,10:48,8,4,0.3,53,45.3
646,Tyler Pitlick\pitlity01,28,PHI,C,63,429,509,45.7,-6.6,320,365,46.7,-5.0,14.5,90.0,104.4,46.6,53.4,12:03,10:53,28,15,0.7,127,59.8
647,Ryan Poehling\poehlry01,21,MTL,C,27,203,202,50.1,-5.5,151,141,51.7,-3.4,4.6,92.4,97.0,49.6,50.4,10:20,9:28,7,8,-2.2,44,59.1
648,Austin Poganski\poganau01,23,STL,RW,1,1,6,14.3,-37.7,1,6,14.3,-39.8,0.0,100.0,100.0,50.0,50.0,5:54,5:54,0,0,-0.3,0,
649,Brayden Point\pointbr01,23,TBL,C,66,924,749,55.2,3.9,684,555,55.2,4.5,15.8,88.2,104.0,57.0,43.0,18:54,15:17,30,19,7.1,277,50.9
650,Roman Polak\polakro01,33,DAL,D,41,358,486,42.4,-8.4,253,331,43.3,-7.0,7.0,91.1,98.1,41.8,58.2,16:40,13:45,4,22,-2.4,73,46.6
651,Tucker Poolman\poolmtu01,26,WPG,D,57,677,757,47.2,-2.1,494,595,45.4,-3.2,13.6,88.9,102.5,51.2,48.8,17:27,16:31,14,46,-9.5,149,43.0
652,Derrick Pouliot\poulide01,26,STL,D,2,10,6,62.5,15.6,7,4,63.6,20.0,0.0,66.7,66.7,57.1,42.9,8:20,8:20,0,1,0.0,3,33.3
653,Nikolai Prokhorkin\prokhni01,26,LAK,LW,43,425,361,54.1,1.4,306,294,51.0,-1.2,5.7,91.5,97.2,50.0,50.0,12:06,11:29,19,14,-4.0,113,55.8
654,Dalton Prout\proutda01,29,SJS,D,2,19,16,54.3,8.6,15,12,55.6,13.3,9.1,88.9,98.0,77.8,22.2,12:49,12:24,2,0,-0.4,4,50.0
655,Ivan Provorov\provoiv01,23,PHI,D,69,989,899,52.4,1.6,739,675,52.3,1.7,12.0,88.6,100.6,46.7,53.3,24:51,18:59,16,67,6.1,275,54.5
656,Ryan Pulock\pulocry01,25,NYI,D,68,907,1123,44.7,-2.9,661,768,46.3,-1.1,13.4,88.3,101.7,43.4,56.6,22:24,18:47,15,64,-0.6,315,51.7
657,Mark Pysyk\pysykma01,28,FLA,D,58,490,614,44.4,-6.2,361,456,44.2,-6.9,12.0,90.5,102.6,33.1,66.9,12:45,12:05,26,15,-6.4,105,61.9
658,John Quenneville\quennjo02,23,CHI,C,9,80,77,51.0,0.6,54,61,47.0,-0.5,16.2,85.1,101.3,48.1,51.9,11:03,10:20,2,5,-1.5,19,73.7
659,Alan Quine\quineal01,26,CGY,C,9,81,72,52.9,1.8,56,52,51.9,2.2,2.7,94.6,97.3,54.5,45.5,9:48,9:47,2,1,-0.1,18,66.7
660,Gage Quinney\quinnga01,24,VEG,F,3,24,18,57.1,8.4,20,14,58.8,9.3,15.4,70.0,85.4,33.3,66.7,9:43,9:39,0,0,0.1,4,50.0
661,Lukas Radil\radillu01,29,SJS,C,14,77,89,46.4,-2.0,51,69,42.5,-4.1,6.7,88.6,95.3,51.6,48.4,9:17,8:14,4,4,-1.6,19,63.2
662,Alexander Radulov\radulal01,33,DAL,RW,60,729,650,52.9,4.4,537,472,53.2,4.8,9.4,92.9,102.3,61.4,38.6,16:45,14:04,26,44,7.7,218,60.6
663,Michael Raffl\rafflmi01,31,PHI,LW,58,423,447,48.6,-3.0,312,317,49.6,-1.6,11.0,87.2,98.2,51.1,48.9,12:22,10:58,19,23,0.2,93,71.0
664,Rickard Rakell\rakelri01,26,ANA,RW,65,772,758,50.5,2.4,581,569,50.5,2.3,11.6,86.8,98.4,54.9,45.1,18:09,14:51,30,42,0.5,316,58.9
665,Mikko Rantanen\rantami01,23,COL,RW,42,587,513,53.4,3.2,444,378,54.0,4.1,11.8,86.1,97.9,58.6,41.4,18:57,15:06,34,16,2.3,182,58.8
666,Victor Rask\raskvi01,26,MIN,C,43,350,308,53.2,4.8,260,224,53.7,4.9,10.7,91.8,102.5,56.1,43.9,10:29,10:04,13,5,4.4,63,60.3
667,Ryan Reaves\reavery01,33,VEG,RW,71,558,467,54.4,-0.1,405,336,54.7,-0.1,8.7,88.5,97.2,58.3,41.7,10:09,9:53,17,7,6.9,99,61.6
668,Mike Reilly\reillmi01,26,TOT,D,44,628,586,51.7,1.6,462,438,51.3,1.4,9.7,88.4,98.1,52.7,47.3,18:01,15:52,9,39,2.8,190,44.7
669,Sam Reinhart\reinhsa01,24,BUF,C,69,939,860,52.2,4.0,720,684,51.3,3.4,11.7,87.2,98.8,58.5,41.5,20:38,17:04,21,33,-5.4,271,53.1
670,Anthony Richard\richaan01,23,NSH,C,1,4,5,44.4,-5.0,4,4,50.0,-3.0,0.0,75.0,75.0,100.0,0.0,4:10,4:10,0,0,-0.3,2,100.0
671,Brad Richardson\richabr02,34,ARI,C,59,446,617,42.0,-7.7,338,444,43.2,-6.2,9.2,91.4,100.6,30.1,69.9,13:39,10:54,12,18,-5.9,133,57.1
672,Tobias Rieder\riedeto01,27,CGY,C,55,411,446,48.0,-3.3,306,326,48.4,-2.0,5.2,89.9,95.2,46.1,53.9,11:05,9:20,17,8,-1.7,129,59.7
673,Morgan Rielly\riellmo01,25,TOR,D,47,817,771,51.4,-1.8,593,610,49.3,-3.8,12.5,89.4,101.9,50.3,49.7,24:10,19:29,17,42,0.8,261,47.1
674,Juuso Riikola\riikoju01,26,PIT,D,36,361,311,53.7,4.5,266,221,54.6,5.4,6.8,92.7,99.5,56.6,43.4,13:53,12:39,8,16,3.0,83,45.8
675,Zac Rinaldo\rinalza01,29,CGY,C,19,110,160,40.7,-8.5,85,126,40.3,-8.8,9.7,92.2,101.9,47.5,52.5,8:16,8:14,5,5,-3.0,28,67.9
676,Rasmus Ristolainen\ristora01,25,BUF,D,69,869,995,46.6,-3.9,664,774,46.2,-3.8,13.3,88.5,101.9,47.2,52.8,22:48,18:10,17,24,-7.3,214,59.8
677,Brett Ritchie\ritchbr01,26,BOS,RW,27,182,174,51.1,0.4,139,136,50.5,0.5,11.0,88.7,99.7,56.1,43.9,10:24,9:52,3,4,-1.9,57,59.6
678,Nick Ritchie\ritchni01,24,TOT,LW,48,506,474,51.6,4.8,393,348,53.0,6.4,9.2,90.4,99.6,51.7,48.3,14:10,12:10,11,20,0.2,138,56.5
679,Jason Robertson\roberja01,20,DAL,LW,3,25,26,49.0,8.6,16,20,44.4,2.7,16.7,84.6,101.3,58.3,41.7,12:19,11:06,1,0,0.3,6,66.7
680,Buddy Robinson\robinbu01,28,CGY,RW,5,33,48,40.7,-9.1,24,33,42.1,-5.5,6.3,95.2,101.5,42.4,57.6,12:03,9:46,2,1,0.3,14,42.9
681,Eric Robinson\robiner01,24,CBJ,LW,50,381,334,53.3,6.2,284,231,55.1,6.5,11.1,92.1,103.2,50.7,49.3,10:57,10:37,13,11,6.1,117,59.0
682,Evan Rodrigues\rodriev01,26,TOT,C,45,330,337,49.5,-2.1,241,246,49.5,-2.0,7.7,88.6,96.3,46.2,53.8,11:17,10:03,14,13,0.0,112,67.0
683,Kevin Rooney\rooneke01,26,NJD,C,49,295,395,42.8,-3.6,212,293,42.0,-5.3,10.1,95.0,105.1,31.4,68.6,11:44,9:23,17,13,-2.1,97,60.8
684,Calle Rosen\rosenca01,25,TOT,D,12,122,123,49.8,0.5,91,94,49.2,0.0,7.6,90.6,98.2,55.6,44.4,13:35,12:57,2,8,-1.4,36,38.9
685,Jack Roslovic\rosloja01,23,WPG,C,71,763,718,51.5,3.2,556,567,49.5,2.0,10.1,91.5,101.6,56.4,43.6,14:54,13:33,24,38,-5.5,206,56.8
686,Antoine Roussel\roussan01,30,VAN,LW,41,321,369,46.5,-0.3,256,266,49.0,1.6,13.3,88.6,101.9,53.3,46.7,11:50,10:30,7,13,-4.0,92,59.8
687,Carter Rowney\rowneca01,30,ANA,RW,71,469,658,41.6,-7.8,356,494,41.9,-7.6,11.6,92.0,103.7,37.2,62.8,12:49,10:11,24,26,-5.8,114,55.3
688,Matt Roy\royma04,24,LAK,D,70,1017,796,56.1,4.0,761,586,56.5,5.1,11.0,90.3,101.3,54.5,45.5,18:07,16:39,7,43,9.4,242,46.3
689,Nicolas Roy\royni01,22,VEG,C,28,263,165,61.4,5.1,198,126,61.1,4.2,8.8,87.9,96.8,56.8,43.2,11:26,10:45,10,6,5.8,65,64.6
690,German Rubtsov\rubtsge01,21,PHI,C,4,8,21,27.6,-25.1,5,13,27.8,-25.9,0.0,90.9,90.9,54.5,45.5,6:48,6:48,1,1,-0.4,1,100.0
691,Chad Ruhwedel\ruhwech01,29,PIT,D,41,390,385,50.3,0.5,299,289,50.9,0.4,10.2,91.2,101.5,52.6,47.4,14:46,13:27,7,17,1.5,84,52.4
692,Kris Russell\russekr01,32,EDM,D,55,454,614,42.5,-5.4,340,413,45.2,-2.7,8.6,91.8,100.4,42.6,57.4,16:47,14:24,31,38,-3.7,82,54.9
693,Patrick Russell\russepa01,27,EDM,RW,45,317,371,46.1,-2.5,233,259,47.4,-1.1,5.7,87.7,93.4,31.1,68.9,11:22,10:19,9,13,-2.5,94,61.7
694,Bryan Rust\rustbr01,27,PIT,RW,55,717,659,52.1,1.7,551,481,53.4,2.8,14.2,87.1,101.3,59.4,40.6,19:46,15:19,29,37,11.1,244,61.9
695,Jan Rutta\ruttaja02,29,TBL,D,33,380,322,54.1,2.0,281,260,51.9,-0.3,13.4,89.8,103.2,53.5,46.5,15:33,13:54,2,8,1.5,81,53.1
696,Bobby Ryan\ryanbo01,32,OTT,LW,24,224,201,52.7,3.9,154,146,51.3,1.6,11.9,91.6,103.5,59.4,40.6,13:31,10:48,12,18,-0.3,95,45.3
697,Derek Ryan\ryande01,33,CGY,C,68,627,633,49.8,-0.4,464,460,50.2,1.1,9.7,92.9,102.7,48.4,51.6,14:32,11:48,34,26,1.1,170,60.6
698,Joakim Ryan\ryanjo02,26,LAK,D,35,457,418,52.2,-3.1,353,313,53.0,-1.5,5.3,90.0,95.4,53.4,46.6,19:09,17:24,6,28,0.5,99,54.5
699,Brandon Saad\saadbr01,27,CHI,LW,58,682,652,51.1,3.5,516,502,50.7,3.2,10.1,89.5,99.6,53.4,46.6,16:45,13:40,40,25,4.0,214,65.4
700,Aleksi Saarela\saareal01,23,FLA,C,9,74,99,42.8,-3.8,63,69,47.7,3.6,9.3,94.1,103.4,47.9,52.1,12:15,11:14,6,3,-1.3,24,62.5
701,Scott Sabourin\sabousc01,27,OTT,F,35,165,210,44.0,-6.1,118,142,45.4,-4.7,9.3,87.1,96.5,46.4,53.6,7:01,6:55,5,6,-3.9,49,59.2
702,Miikka Salomaki\salommi01,26,NSH,RW,5,32,31,50.8,-2.1,23,21,52.3,-1.0,11.8,100.0,111.8,29.0,71.0,12:09,11:38,1,3,0.4,5,40.0
703,Rasmus Sandin\sandira01,19,TOR,D,28,294,266,52.5,1.0,200,216,48.1,-3.8,10.3,86.6,97.0,55.5,44.5,14:19,13:18,2,15,-3.2,48,45.8
704,Zach Sanford\sanfoza01,25,STL,LW,58,524,503,51.0,0.8,416,402,50.9,1.1,12.6,90.4,103.0,54.7,45.3,13:44,12:23,18,19,1.3,159,56.6
705,Travis Sanheim\sanhetr01,23,PHI,D,69,944,872,52.0,1.0,697,650,51.7,1.0,12.4,86.7,99.1,49.6,50.4,20:09,17:20,22,53,4.3,226,48.7
706,Steven Santini\santist01,24,NSH,D,2,15,11,57.7,-9.0,13,8,61.9,-6.6,28.6,85.7,114.3,60.0,40.0,9:33,9:16,0,0,0.2,2,50.0
707,Ashton Sautner\sautnas01,25,VAN,D,1,2,2,50.0,-1.3,1,2,33.3,-28.7,0.0,100.0,100.0,50.0,50.0,2:49,2:49,0,0,-0.1,1,100.0
708,David Savard\savarda01,29,CBJ,D,68,883,1046,45.8,-3.9,681,720,48.6,-2.3,9.8,90.0,99.8,40.7,59.3,20:41,18:22,18,43,4.3,193,50.3
709,Luca Sbisa\sbisalu01,30,WPG,D,44,480,562,46.1,-2.8,363,437,45.4,-1.8,11.1,89.3,100.5,49.9,50.1,17:56,15:54,4,26,-4.9,99,49.5
710,Marco Scandella\scandma01,29,TOT,D,62,737,693,51.5,-0.6,554,508,52.2,0.9,12.1,91.1,103.2,50.3,49.7,17:35,15:30,18,49,5.0,171,45.0
711,Colton Sceviour\scevico01,30,FLA,C/RW,69,521,680,43.4,-7.7,401,480,45.5,-5.4,9.3,91.7,100.9,24.2,75.8,13:13,10:33,26,35,-4.6,171,66.7
712,Tim Schaller\schalti01,29,TOT,LW,53,284,422,40.2,-10.6,215,308,41.1,-10.2,6.1,88.9,95.0,33.7,66.3,11:34,8:45,14,9,-6.7,86,57.0
713,Mark Scheifele\scheima01,26,WPG,C,71,1044,1050,49.9,1.2,774,842,47.9,-0.1,14.7,86.9,101.5,57.3,42.7,21:48,18:11,57,46,-6.4,288,59.0
714,Brayden Schenn\schenbr01,28,STL,C,71,795,746,51.6,1.2,593,563,51.3,1.0,11.6,89.1,100.8,53.9,46.1,18:26,15:06,26,39,0.2,224,61.6
715,Luke Schenn\schenlu01,30,TBL,D,25,208,241,46.3,-9.1,155,181,46.1,-9.2,9.3,86.3,95.6,50.3,49.7,12:27,10:43,5,10,-4.3,56,55.4
716,Nick Schmaltz\schmani01,23,ARI,C,70,756,751,50.2,2.4,566,562,50.2,2.5,10.1,90.5,100.6,58.8,41.2,15:32,13:02,52,27,0.6,188,50.5
717,Nate Schmidt\schmina01,28,VEG,D,59,976,853,53.4,-2.6,717,633,53.1,-3.4,10.7,90.1,100.9,49.7,50.3,21:40,19:00,33,39,8.9,225,49.8
718,Justin Schultz\schulju01,29,PIT,D,46,609,584,51.0,0.1,484,434,52.7,1.8,8.7,86.6,95.2,56.4,43.6,19:53,16:54,6,18,4.3,178,48.3
719,Jaden Schwartz\schwaja01,27,STL,C,71,807,705,53.4,3.6,602,531,53.1,3.4,10.8,89.4,100.3,54.0,46.0,18:10,14:52,50,29,0.7,286,56.6
720,Brent Seabrook\seabrbr01,34,CHI,D,32,363,455,44.4,-5.6,264,337,43.9,-5.0,9.4,92.4,101.8,46.2,53.8,18:09,15:45,3,27,-5.2,78,51.3
721,Nick Seeler\seeleni01,26,TOT,D,12,84,141,37.3,-10.4,61,98,38.4,-9.7,4.9,87.1,92.0,56.2,43.8,11:56,11:14,1,7,-2.3,17,29.4
722,Tyler Seguin\seguity01,28,DAL,C,69,968,951,50.4,1.4,704,696,50.3,1.4,9.1,90.9,100.0,50.9,49.1,19:08,15:44,34,52,4.0,395,62.0
723,Andrej Sekera\sekeran01,33,DAL,D,57,631,696,47.6,-2.5,464,499,48.2,-1.1,7.1,95.2,102.3,45.4,54.6,18:00,15:37,8,50,2.5,128,49.2
724,Brett Seney\seneybr01,23,NJD,LW,2,10,13,43.5,-10.0,5,10,33.3,-22.3,0.0,85.7,85.7,50.0,50.0,9:56,9:56,1,3,-0.7,2,50.0
725,Zachary Senyshyn\senysza01,22,BOS,RW,4,26,19,57.8,4.7,21,14,60.0,9.8,11.1,100.0,111.1,52.2,47.8,8:26,8:22,1,1,0.7,4,25.0
726,Mikhail Sergachev\sergami01,21,TBL,D,70,1005,882,53.3,1.7,710,659,51.9,0.7,11.2,90.7,101.9,54.3,45.7,20:22,17:01,18,39,3.1,274,43.1
727,Damon Severson\severda01,25,NJD,D,69,919,1056,46.5,0.9,684,772,47.0,0.4,9.1,87.9,97.0,44.2,55.8,22:58,18:13,35,73,-9.1,221,51.6
728,Michael Sgarbossa\sgarbmi01,27,WSH,C,2,11,12,47.8,-6.5,9,10,47.4,-6.4,0.0,100.0,100.0,50.0,50.0,8:07,8:07,2,1,-0.5,4,25.0
729,Kevin Shattenkirk\shattke01,31,TBL,D,70,993,841,54.1,2.9,718,629,53.3,2.7,12.1,91.9,104.0,53.2,46.8,18:53,16:50,32,34,7.0,246,53.3
730,Andrew Shaw\shawan01,28,CHI,C,26,264,242,52.2,5.2,181,186,49.3,2.8,11.1,88.4,99.5,48.9,51.1,14:27,11:47,12,15,2.2,69,66.7
731,Logan Shaw\shawlo01,28,WPG,RW,35,107,192,35.8,-13.4,77,131,37.0,-11.0,8.0,95.1,103.1,44.0,56.0,6:49,6:40,2,5,-3.1,36,55.6
732,Riley Sheahan\sheahri01,28,EDM,C,66,432,556,43.7,-4.8,326,404,44.7,-4.2,9.3,87.3,96.6,32.5,67.5,12:47,10:15,36,25,-4.1,109,64.2
733,Conor Sheary\shearco01,27,TOT,LW,63,562,575,49.4,-0.9,419,452,48.1,-1.9,10.5,88.4,98.9,51.5,48.5,13:06,11:53,19,18,0.3,167,61.1
734,Kiefer Sherwood\sherwki01,24,ANA,RW,10,83,110,43.0,-4.6,63,86,42.3,-5.7,7.5,95.4,102.9,46.9,53.1,13:20,12:17,4,7,-3.9,33,51.5
735,Kole Sherwood\sherwko01,23,CBJ,RW,3,20,13,60.6,10.0,17,8,68.0,13.5,0.0,100.0,100.0,46.7,53.3,6:38,6:38,2,0,0.3,6,100.0
736,Devin Shore\shorede01,25,TOT,C,45,349,428,44.9,-2.9,274,324,45.8,-2.4,9.2,87.9,97.2,50.6,49.4,11:39,10:33,12,8,-6.1,79,63.3
737,Nick Shore\shoreni01,27,TOT,C,63,288,374,43.5,-7.5,213,273,43.8,-5.9,7.2,94.7,101.9,27.0,73.0,9:11,7:38,14,16,-3.8,77,58.4
738,Jonas Siegenthaler\siegejo01,22,WSH,D,64,645,626,50.7,-2.3,484,448,51.9,-0.7,9.7,91.8,101.5,45.6,54.4,15:44,12:22,13,32,3.9,110,44.5
739,Dylan Sikura\sikurdy01,24,CHI,C,9,67,72,48.2,-1.2,54,54,50.0,2.0,10.3,93.0,103.3,52.7,47.3,9:54,9:53,2,0,-1.6,12,83.3
740,Jakob Silfverberg\silfvja01,29,ANA,LW,66,698,704,49.8,2.0,508,522,49.3,1.2,13.2,86.6,99.8,51.2,48.8,17:41,13:30,40,32,-3.4,270,57.4
741,Radim Simek\simekra01,27,SJS,D,48,527,591,47.1,-4.6,366,436,45.6,-6.5,9.4,88.4,97.8,46.8,53.2,17:09,15:07,20,36,-5.0,87,46.0
742,Wayne Simmonds\simmowa01,31,TOT,RW,68,622,726,46.1,-0.5,457,521,46.7,-0.4,8.3,89.4,97.7,47.9,52.1,14:55,12:05,27,18,-3.3,194,61.3
743,Dominik Simon\simondo01,25,PIT,C,64,726,639,53.2,3.0,552,482,53.4,2.5,8.6,88.0,96.6,59.0,41.0,14:24,13:40,41,31,2.2,180,56.7
744,Colton Sissons\sissoco01,26,NSH,C,57,456,548,45.4,-6.4,347,380,47.7,-4.5,11.5,88.4,99.9,31.0,69.0,14:20,11:35,14,25,-2.0,92,56.5
745,Jeff Skinner\skinnje01,27,BUF,LW/C,59,628,620,50.3,0.5,466,467,49.9,0.7,8.7,87.3,96.0,52.3,47.7,16:29,13:57,28,24,-0.9,291,62.9
746,Brady Skjei\skjeibr01,25,TOT,D,67,993,1121,47.0,-0.9,751,862,46.6,-2.4,9.9,88.7,98.5,47.6,52.4,20:41,17:58,36,55,-4.7,239,58.2
747,Jaccob Slavin\slavija01,25,CAR,D,68,1149,916,55.6,2.2,890,703,55.9,3.5,12.3,88.9,101.3,53.3,46.7,23:24,19:17,81,49,17.1,293,49.5
748,Brendan Smith\smithbr05,30,NYR,D,62,367,493,42.7,-4.9,280,354,44.2,-3.6,5.5,89.8,95.3,48.8,51.2,11:06,8:58,18,24,-7.5,87,51.7
749,Craig Smith\smithcr01,30,NSH,C,69,708,569,55.4,5.7,550,427,56.3,6.0,11.7,92.1,103.8,51.5,48.5,13:25,11:02,26,26,9.1,280,65.7
750,Dalton Smith\smithda03,27,BUF,LW,1,1,0,100.0,47.8,1,0,100.0,48.2,100.0,,,50.0,50.0,1:26,1:26,0,0,0.1,0,
751,Gemel Smith\smithge02,25,TBL,C,3,15,25,37.5,-6.3,13,19,40.6,2.0,9.1,93.3,102.4,30.8,69.2,9:10,7:30,1,0,-0.5,1,100.0
752,Givani Smith\smithgi01,21,DET,RW,21,100,116,46.3,0.4,80,87,47.9,2.4,5.2,92.4,97.6,47.1,52.9,9:41,8:21,2,6,-1.2,28,78.6
753,Reilly Smith\smithre01,28,VEG,RW,71,873,734,54.3,-0.2,639,562,53.2,-2.0,12.1,89.1,101.2,56.9,43.1,17:55,14:05,58,41,6.9,266,63.5
754,Zack Smith\smithza01,31,CHI,C,50,334,389,46.2,-3.1,236,297,44.3,-4.7,9.7,93.0,102.8,41.4,58.6,11:47,10:21,21,14,-3.7,76,56.6
755,Vladimir Sobotka\sobotvl01,32,BUF,C,16,135,162,45.5,-2.8,100,119,45.7,-1.9,11.5,93.1,104.6,38.2,61.8,14:16,12:36,3,3,-2.1,32,71.9
756,Carl Soderberg\soderca01,34,ARI,C,70,656,765,46.2,-2.6,493,561,46.8,-1.8,10.0,92.3,102.4,45.3,54.7,15:54,12:33,28,24,-2.5,219,61.6
757,Marcus Sorensen\sorenma01,27,SJS,RW,66,558,586,48.8,-1.6,402,430,48.3,-1.8,9.0,87.5,96.5,47.0,53.0,13:51,11:47,28,18,-2.1,124,62.9
758,Carson Soucy\soucyca01,25,MIN,D,55,523,600,46.6,-4.1,393,427,47.9,-2.9,13.8,92.9,106.7,43.2,56.8,15:38,14:15,17,16,0.6,112,54.5
759,Jason Spezza\spezzja01,36,TOR,C,58,433,408,51.5,-0.1,311,313,49.8,-1.5,11.8,88.4,100.3,46.0,54.0,10:50,9:28,20,33,-0.4,132,55.3
760,Daniel Sprong\spronda01,22,ANA,RW,8,102,81,55.7,6.3,81,61,57.0,7.0,8.0,86.4,94.4,41.7,58.3,14:05,11:19,1,0,0.2,31,54.8
761,Jared Spurgeon\spurgja01,30,MIN,D,62,929,845,52.4,3.7,670,629,51.6,2.2,11.9,87.8,99.7,48.7,51.3,22:34,17:25,10,23,9.0,234,47.9
762,Eric Staal\staaler01,35,MIN,C,66,720,780,48.0,-2.4,515,579,47.1,-4.0,14.7,86.0,100.7,55.0,45.0,17:07,13:59,25,46,-2.0,232,48.7
763,Jordan Staal\staaljo01,31,CAR,C,68,848,669,55.9,2.3,625,515,54.8,1.7,9.9,89.9,99.7,47.8,52.2,17:30,13:58,30,41,5.8,202,61.9
764,Marc Staal\staalma01,33,NYR,D,52,553,745,42.6,-6.0,434,548,44.2,-5.1,10.0,92.3,102.4,47.1,52.9,17:39,14:49,19,34,-5.1,87,52.9
765,Steven Stamkos\stamkst01,29,TBL,C,57,710,646,52.4,0.0,524,495,51.4,-0.5,15.3,87.3,102.6,58.3,41.7,18:25,14:28,24,33,5.9,319,55.2
766,Paul Stastny\stastpa01,34,VEG,C,71,876,668,56.7,2.9,641,484,57.0,2.8,9.8,87.9,97.8,52.4,47.6,17:08,13:43,41,18,14.9,200,68.0
767,Troy Stecher\stechtr01,25,VAN,D,69,764,822,48.2,-0.3,570,592,49.1,-0.1,11.1,92.0,103.0,39.6,60.4,15:21,14:34,16,25,-5.1,177,48.6
768,Sam Steel\steelsa01,21,ANA,C,65,623,648,49.0,1.4,460,498,48.0,0.0,8.7,90.3,99.0,57.3,42.7,15:33,13:14,25,37,-5.7,168,50.6
769,Alex Steen\steenal01,35,STL,C,55,449,467,49.0,-2.4,326,334,49.4,-1.9,13.5,89.0,102.5,46.2,53.8,14:02,11:18,16,12,2.1,115,61.7
770,Kevin Stenlund\stenlke01,23,CBJ,C,32,274,288,48.8,2.0,196,201,49.4,0.7,8.8,91.6,100.5,53.1,46.9,13:59,11:49,6,9,1.0,100,57.0
771,Derek Stepan\stepade01,29,ARI,C,70,776,797,49.3,1.4,564,599,48.5,0.4,8.4,90.4,98.8,47.1,52.9,17:39,13:44,38,28,-1.4,258,61.2
772,Mitchell Stephens\stephmi01,22,TBL,C,38,273,249,52.3,-0.1,201,198,50.4,-1.4,9.6,85.4,95.0,44.5,55.5,10:47,9:26,6,4,0.1,82,52.4
773,Chandler Stephenson\stephch02,25,TOT,C,65,685,572,54.5,0.2,523,416,55.7,1.4,12.6,92.3,104.9,50.8,49.2,14:19,12:21,37,22,7.8,133,54.9
774,Chris Stewart\stewach02,32,PHI,RW,16,53,113,31.9,-20.5,38,84,31.1,-20.2,13.8,84.1,97.9,50.8,49.2,7:47,7:36,3,1,-4.9,12,41.7
775,Riley Stillman\stillri01,21,FLA,D,34,418,455,47.9,-3.0,308,332,48.1,-2.4,10.0,88.9,98.9,46.8,53.2,19:07,16:39,13,28,-4.2,83,47.0
776,Mark Stone\stonema01,27,VEG,RW,65,946,685,58.0,5.5,719,499,59.0,6.5,12.1,87.2,99.3,54.5,45.5,19:24,14:57,78,38,19.9,276,61.2
777,Michael Stone\stonemi01,29,CGY,D,33,348,434,44.5,-8.3,255,317,44.6,-7.4,10.1,89.1,99.2,52.6,47.4,16:19,14:49,6,9,-4.3,110,51.8
778,Anton Stralman\stralan01,33,FLA,D,69,957,1051,47.7,-2.9,723,774,48.3,-2.4,11.5,86.9,98.4,48.1,51.9,21:04,18:09,40,48,-3.3,168,53.0
779,Ben Street\streebe01,32,NJD,C,3,12,23,34.3,-14.1,8,17,32.0,-17.4,16.7,100.0,116.7,40.0,60.0,8:08,5:30,0,0,-0.8,6,66.7
780,Dylan Strome\stromdy01,22,CHI,C,58,603,611,49.7,2.1,434,448,49.2,2.2,12.4,89.8,102.2,56.7,43.3,15:56,13:13,30,26,-4.7,147,66.0
781,Ryan Strome\stromry01,26,NYR,C,70,878,908,49.2,3.4,688,676,50.4,4.2,13.8,90.6,104.4,54.6,45.4,19:35,14:22,27,54,11.1,241,63.9
782,Jack Studnicka\studnja01,20,BOS,C,2,19,18,51.4,7.9,16,16,50.0,10.4,18.2,100.0,118.2,50.0,50.0,12:08,11:06,0,3,0.7,4,75.0
783,Nico Sturm\sturmni01,24,MIN,C,6,50,48,51.0,1.1,34,29,54.0,3.7,12.0,95.7,107.7,41.3,58.7,11:54,11:22,1,1,-0.4,4,50.0
784,P.K. Subban\subbapk01,30,NJD,D,68,922,1034,47.1,1.6,719,769,48.3,2.2,7.8,89.0,96.8,48.1,51.9,22:07,17:53,19,65,-7.0,292,51.7
785,C.J. Suess\frankcl01,25,WPG,LW,1,2,13,13.3,-18.6,1,12,7.7,-19.8,,87.5,,25.0,75.0,6:26,6:26,0,0,-0.5,1,0.0
786,Oskar Sundqvist\sundqos01,25,STL,C,57,506,537,48.5,-3.9,376,393,48.9,-3.0,10.9,90.0,100.9,38.8,61.2,14:23,12:27,36,11,-1.4,167,58.1
787,Antti Suomela\suomean01,25,SJS,C,20,132,141,48.4,-1.4,92,94,49.5,0.3,14.3,90.8,105.1,48.1,51.9,9:41,9:16,6,4,1.5,29,62.1
